Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1511624221,2017-11-25T15:37:01Z,RAM833L,"50.899357,4.48679",0,0,334
1511624282,2017-11-25T15:38:02Z,RAM833L,"50.898754,4.487284",0,12,334
1511624425,2017-11-25T15:40:25Z,RAM833L,"50.898331,4.48719",0,0,188
1511624494,2017-11-25T15:41:34Z,RAM833L,"50.899029,4.489678",0,17,64
1511624565,2017-11-25T15:42:45Z,RAM833L,"50.902756,4.495201",0,19,14
1511624609,2017-11-25T15:43:29Z,RAM833L,"50.90704,4.496934",0,24,14
1511624618,2017-11-25T15:43:38Z,RAM833L,"50.908108,4.497375",0,23,14
1511624629,2017-11-25T15:43:49Z,RAM833L,"50.90913,4.497833",0,22,19
1511624643,2017-11-25T15:44:03Z,RAM833L,"50.910294,4.499226",0,21,39
1511624654,2017-11-25T15:44:14Z,RAM833L,"50.910763,4.500122",0,19,73
1511624663,2017-11-25T15:44:23Z,RAM833L,"50.910244,4.500924",0,17,188
1511624669,2017-11-25T15:44:29Z,RAM833L,"50.909935,4.500828",0,33,194
1511624679,2017-11-25T15:44:39Z,RAM833L,"50.90918,4.500497",0,26,194
1511624689,2017-11-25T15:44:49Z,RAM833L,"50.906898,4.499569",0,74,194
1511624714,2017-11-25T15:45:14Z,RAM833L,"50.896248,4.495227",0,150,194
1511624724,2017-11-25T15:45:24Z,RAM833L,"50.886715,4.491653",500,159,193
1511624734,2017-11-25T15:45:34Z,RAM833L,"50.878525,4.489288",1000,162,185
1511624754,2017-11-25T15:45:54Z,RAM833L,"50.864277,4.499817",1725,185,138
1511624769,2017-11-25T15:46:09Z,RAM833L,"50.854248,4.513673",2225,192,139
1511624779,2017-11-25T15:46:19Z,RAM833L,"50.84724,4.522629",2575,195,141
1511624789,2017-11-25T15:46:29Z,RAM833L,"50.839977,4.531326",2975,195,143
1511624799,2017-11-25T15:46:39Z,RAM833L,"50.83255,4.539877",3350,198,143
1511624810,2017-11-25T15:46:50Z,RAM833L,"50.824711,4.548798",3500,215,144
1511624819,2017-11-25T15:46:59Z,RAM833L,"50.815353,4.556503",3700,225,157
1511624825,2017-11-25T15:47:05Z,RAM833L,"50.810696,4.558792",3750,231,165
1511624834,2017-11-25T15:47:14Z,RAM833L,"50.799664,4.560852",3950,243,179
1511624854,2017-11-25T15:47:34Z,RAM833L,"50.77853,4.55292",4325,253,205
1511624860,2017-11-25T15:47:40Z,RAM833L,"50.772011,4.54659",4600,259,214
1511624870,2017-11-25T15:47:50Z,RAM833L,"50.763401,4.53377",5075,250,230
1511624880,2017-11-25T15:48:00Z,RAM833L,"50.756981,4.5182",5600,251,242
1511624890,2017-11-25T15:48:10Z,RAM833L,"50.751339,4.50188",6100,250,242
1511624905,2017-11-25T15:48:25Z,RAM833L,"50.742729,4.4783",6450,267,241
1511624921,2017-11-25T15:48:41Z,RAM833L,"50.734718,4.44923",6700,287,256
1511624930,2017-11-25T15:48:50Z,RAM833L,"50.731571,4.42846",6875,301,257
1511624941,2017-11-25T15:49:01Z,RAM833L,"50.72942,4.41339",6975,308,257
1511624957,2017-11-25T15:49:17Z,RAM833L,"50.723412,4.37088",7450,325,258
1511624971,2017-11-25T15:49:31Z,RAM833L,"50.718571,4.33716",8150,326,258
1511624985,2017-11-25T15:49:45Z,RAM833L,"50.711609,4.30412",8750,335,247
1511624994,2017-11-25T15:49:54Z,RAM833L,"50.706089,4.28619",9125,334,244
1511625000,2017-11-25T15:50:00Z,RAM833L,"50.700581,4.27123",9425,341,238
1511625006,2017-11-25T15:50:06Z,RAM833L,"50.69511,4.25812",9700,338,237
